isolate,accession,location,street,date,species,sample_id
D_mel_USA_2023_Peach-13-H7_Galbut_virus_RNA1_Complete_CDS,PQ625141,Colorado,JFK Parkway,2023,melanogaster,Peach-13-H7
D_mel_USA_2023_Penn-F-2_Galbut_virus_RNA1_Complete_CDS,PQ625142,Pennsylvania,Toftrees,2023,melanogaster,Penn-F-2
D_mel_USA_2023_Penn-F-3_Galbut_virus_RNA1_Complete_CDS,PQ625143,Pennsylvania,Toftrees,2023,melanogaster,Penn-F-3
D_mel_USA_2023_Penn-F-4_Galbut_virus_RNA1_Complete_CDS_1,PQ625144,Pennsylvania,Toftrees,2023,melanogaster,Penn-F-4
D_mel_USA_2023_Penn-F-4_Galbut_virus_RNA1_Complete_CDS_2,PQ625145,Pennsylvania,Toftrees,2023,melanogaster,Penn-F-4
D_mel_USA_2023_Penn-F-9_Galbut_virus_RNA1_Complete_CDS,PQ625146,Pennsylvania,Toftrees,2023,melanogaster,Penn-F-9
D_mel_USA_2023_Penn-F-12_Galbut_virus_RNA1_Complete_CDS,PQ625147,Pennsylvania,Toftrees,2023,melanogaster,Penn-F-12
D_mel_USA_2023_Penn-M-2_Galbut_virus_RNA1_Complete_CDS,PQ625148,Pennsylvania,Toftrees,2023,melanogaster,Penn-M-2
D_mel_USA_2023_Penn-M-8_Galbut_virus_RNA1_Complete_CDS,PQ625149,Pennsylvania,Toftrees,2023,melanogaster,Penn-M-8
D_mel_USA_2023_Penn-M-10_Galbut_virus_RNA1_Complete_CDS,PQ625150,Pennsylvania,Toftrees,2023,melanogaster,Penn-M-10
D_mel_USA_2023_Penn-M-14_Galbut_virus_RNA1_Partial_CDS,PQ625151,Pennsylvania,Toftrees,2023,melanogaster,Penn-M-14
D_mel_USA_2023_Penn-M-15_Galbut_virus_RNA1_Complete_CDS,PQ625152,Pennsylvania,Toftrees,2023,melanogaster,Penn-M-15
D_sim_USA_2023_ME-M-3_Galbut_virus_RNA1_Complete_CDS,PQ625153,Maine,Cushmab,2023,undetermined,ME-M-3
galbut_EVE_from_Wallace_supp_fig_S10,EVE,,Unknown,,melanogaster,EVE
,KX884152,China,Unknown,2013,dipteran,
,MH384335,Australia,Unknown,2008,melanogaster,
,MH384353,Australia,Unknown,2008,melanogaster,
,MH384360,Australia,Unknown,2008,melanogaster,
,MH384364,Australia,Unknown,2008,melanogaster,
,MH384372,Australia,Unknown,2008,melanogaster,
,MH384378,Australia,Unknown,2008,melanogaster,
,MT742160,Colorado,Unknown,2017,melanogaster,
,MT742164,Colorado,Unknown,2018,melanogaster,
,MW976823,Australia,Unknown,2018,simulans,
,MW976824,Australia,Unknown,2018,simulans,
,MW976825,Australia,Unknown,2018,simulans,
,MW976826,Australia,Unknown,2018,simulans,
,MW976827,Australia,Unknown,2018,simulans,
,MW976828,Australia,Unknown,2018,simulans,
,MW976829,Australia,Unknown,2018,simulans,
,MW976830,Australia,Unknown,2018,simulans,
,MW976831,Australia,Unknown,2018,simulans,
,MW976832,Australia,Unknown,2018,simulans,
,MW976833,Australia,Unknown,2018,simulans,
,MW976834,Australia,Unknown,2018,simulans,
,MW976835,Australia,Unknown,2018,simulans,
,MW976836,Australia,Unknown,2018,simulans,
,OR729093,Colorado,Unknown,2020,melanogaster,
,OR729094,Colorado,Unknown,2020,melanogaster,
,OR729095,Colorado,Unknown,2020,melanogaster,
,OR729096,Colorado,Unknown,2020,melanogaster,
,OR729097,Colorado,Unknown,2020,melanogaster,
,OR729098,Colorado,Unknown,2020,melanogaster,
,OR729099,Colorado,Unknown,2021,melanogaster,
,OR729100,Colorado,Unknown,2021,melanogaster,
,OR729101,Colorado,Unknown,2021,melanogaster,
,OR729102,Colorado,Unknown,2021,melanogaster,
,OR729103,Colorado,Unknown,2021,melanogaster,
,OR729104,Colorado,Unknown,2021,melanogaster,
,OR729105,Colorado,Unknown,2021,melanogaster,
,OR729106,Colorado,Unknown,2021,melanogaster,
,OR729107,Colorado,Unknown,2021,melanogaster,
,OR729108,Colorado,Unknown,2021,melanogaster,
,OR729109,Colorado,Unknown,2021,melanogaster,
,OR729110,Colorado,Unknown,2021,melanogaster,
,OR729111,Colorado,Unknown,2021,melanogaster,
,OR729112,Colorado,Unknown,2021,melanogaster,
,OR729113,Colorado,Unknown,2021,melanogaster,
,OR729114,Colorado,Unknown,2021,melanogaster,
,OR729115,Colorado,Unknown,2021,melanogaster,
,OR729116,Colorado,Unknown,2021,melanogaster,
,OR729117,Colorado,Unknown,2021,melanogaster,
,OR820562,Illinois,Unknown,1908,melanogaster,
,OR820569,Illinois,Unknown,1930,melanogaster,
,OR820575,Minnesota,Unknown,1919,melanogaster,
,OR820588,Pennsylvania,Unknown,1963,melanogaster,
,OR820596,California,Unknown,2000,simulans,
,OR820600,California,Unknown,2011,simulans,
