dataset	co1_species	count	pct_id	accession_species	accession	total_count	fractional_count				dataset	co1_species
1020-F-44.trim_2	Drosophila_melanogaster	3728	99.68762339	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3729	0.999731832				1020-F-44.trim_2	Drosophila_melanogaster
1020-F1.trim_1	Drosophila_melanogaster	4601	99.74046077	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4603	0.999565501				1020-F1.trim_1	Drosophila_melanogaster
1020-F1.trim_2	Drosophila_melanogaster	4817	99.68127673	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4817	1				1020-F1.trim_2	Drosophila_melanogaster
1020-F3.trim_1	Drosophila_melanogaster	6599	99.78047583	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6602	0.999545592				1020-F3.trim_1	Drosophila_melanogaster
1020-F3.trim_2	Drosophila_melanogaster	6597	99.73502804	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6599	0.999696924				1020-F3.trim_2	Drosophila_melanogaster
1020-F6.trim_1	Drosophila_melanogaster	16	100	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	16	1				1020-F6.trim_1	Drosophila_melanogaster
1020-F6.trim_2	Drosophila_melanogaster	18	99.87944444	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	18	1				1020-F6.trim_2	Drosophila_melanogaster
1020-F8.trim_1	Drosophila_melanogaster	5240	99.78655344	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5244	0.999237223				1020-F8.trim_1	Drosophila_melanogaster
1020-F8.trim_2	Drosophila_melanogaster	5188	99.73405937	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5195	0.998652551				1020-F8.trim_2	Drosophila_melanogaster
1020-G1.trim_1	Drosophila_melanogaster	3909	99.73080583	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3914	0.998722534				1020-G1.trim_1	Drosophila_melanogaster
1020-G1.trim_2	Drosophila_melanogaster	3992	99.71527054	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3999	0.998249562				1020-G1.trim_2	Drosophila_melanogaster
1020-G3.trim_1	Drosophila_melanogaster	1278	99.74253521	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1278	1				1020-G3.trim_1	Drosophila_melanogaster
1020-G3.trim_2	Drosophila_melanogaster	1319	99.72081122	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1319	1				1020-G3.trim_2	Drosophila_melanogaster
1020-H7.trim_1	Drosophila_melanogaster	1629	99.79109883	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1629	1				1020-H7.trim_1	Drosophila_melanogaster
1020-H7.trim_2	Drosophila_melanogaster	1634	99.76255202	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1634	1				1020-H7.trim_2	Drosophila_melanogaster
1020-M-0818-A10.trim_1	Drosophila_melanogaster	13576	99.72112773	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	13582	0.999558239				1020-M-0818-A10.trim_1	Drosophila_melanogaster
1020-M-0818-A10.trim_2	Drosophila_melanogaster	14014	99.6502048	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	14020	0.99957204				1020-M-0818-A10.trim_2	Drosophila_melanogaster
1020-M-0818-A5.trim_1	Drosophila_melanogaster	9512	99.79490013	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	9515	0.999684708				1020-M-0818-A5.trim_1	Drosophila_melanogaster
1020-M-0818-A5.trim_2	Drosophila_melanogaster	9587	99.70746427	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	9589	0.999791428				1020-M-0818-A5.trim_2	Drosophila_melanogaster
1020-M-0818-A7.trim_1	Drosophila_melanogaster	19938	99.6271301	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	19951	0.999348404				1020-M-0818-A7.trim_1	Drosophila_melanogaster
1020-M-0818-A7.trim_2	Drosophila_melanogaster	20598	99.57847946	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	20609	0.999466253				1020-M-0818-A7.trim_2	Drosophila_melanogaster
1020-M-19.trim_1	Drosophila_melanogaster	5416	99.78746861	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5418	0.99963086				1020-M-19.trim_1	Drosophila_melanogaster
1020-M-19.trim_2	Drosophila_melanogaster	5446	99.72830518	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5449	0.99944944				1020-M-19.trim_2	Drosophila_melanogaster
1020-M-8.trim_1	Drosophila_melanogaster	10570	99.67480416	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	10590	0.998111426				1020-M-8.trim_1	Drosophila_melanogaster
1020-M-8.trim_2	Drosophila_melanogaster	10888	99.64067781	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	10910	0.997983501				1020-M-8.trim_2	Drosophila_melanogaster
1428-F-15.trim_1	Drosophila_melanogaster	2539	99.75477747	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2539	1				1428-F-15.trim_1	Drosophila_melanogaster
1428-F-15.trim_2	Drosophila_melanogaster	2548	99.73405416	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2548	1				1428-F-15.trim_2	Drosophila_melanogaster
1428-F-21.trim_1	Drosophila_melanogaster	2807	99.83609191	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2810	0.998932384				1428-F-21.trim_1	Drosophila_melanogaster
1428-F-21.trim_2	Drosophila_melanogaster	3077	99.80623659	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3079	0.999350438				1428-F-21.trim_2	Drosophila_melanogaster
1428-F-8.trim_1	Drosophila_melanogaster	546	99.78084249	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	546	1				1428-F-8.trim_1	Drosophila_melanogaster
1428-F-8.trim_2	Drosophila_melanogaster	536	99.75072761	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	536	1				1428-F-8.trim_2	Drosophila_melanogaster
1428-M-21.trim_1	Drosophila_melanogaster	791	99.82780025	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	791	1				1428-M-21.trim_1	Drosophila_melanogaster
1428-M-21.trim_2	Drosophila_melanogaster	835	99.79194012	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	835	1				1428-M-21.trim_2	Drosophila_melanogaster
1428-M-3.trim_1	Drosophila_melanogaster	1304	99.74093558	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1305	0.999233716				1428-M-3.trim_1	Drosophila_melanogaster
1428-M-3.trim_2	Drosophila_melanogaster	1330	99.68840602	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1331	0.999248685				1428-M-3.trim_2	Drosophila_melanogaster
1428-M-36.trim_1	Drosophila_melanogaster	2416	99.89848924	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2416	1				1428-M-36.trim_1	Drosophila_melanogaster
1428-M-36.trim_2	Drosophila_melanogaster	2624	99.86605564	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2624	1				1428-M-36.trim_2	Drosophila_melanogaster
1428-M-4.trim_1	Drosophila_melanogaster	1504	99.77412234	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1504	1				1428-M-4.trim_1	Drosophila_melanogaster
1428-M-4.trim_2	Drosophila_melanogaster	1490	99.77213423	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1490	1				1428-M-4.trim_2	Drosophila_melanogaster
1428-M-42.trim_1	Drosophila_melanogaster	2899	99.90187996	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2900	0.999655172				1428-M-42.trim_1	Drosophila_melanogaster
1428-M-42.trim_2	Drosophila_melanogaster	2839	99.8591018	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2840	0.999647887				1428-M-42.trim_2	Drosophila_melanogaster
1428-M-43.trim_1	Drosophila_melanogaster	2232	99.87663082	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2235	0.998657718				1428-M-43.trim_1	Drosophila_melanogaster
1428-M-43.trim_2	Drosophila_melanogaster	2334	99.87925878	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2335	0.999571734				1428-M-43.trim_2	Drosophila_melanogaster
1428-M-6.trim_1	Drosophila_melanogaster	1454	99.80026823	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1454	1				1428-M-6.trim_1	Drosophila_melanogaster
1428-M-6.trim_2	Drosophila_melanogaster	1422	99.77908579	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1422	1				1428-M-6.trim_2	Drosophila_melanogaster
500-F-11.trim_1	Drosophila_melanogaster	4839	99.76182682	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4839	1				500-F-11.trim_1	Drosophila_melanogaster
500-F-11.trim_2	Drosophila_melanogaster	4812	99.72666251	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4812	1				500-F-11.trim_2	Drosophila_melanogaster
500-F-12.trim_1	Drosophila_melanogaster	2590	99.78684556	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2590	1				500-F-12.trim_1	Drosophila_melanogaster
500-F-12.trim_2	Drosophila_melanogaster	2585	99.73382979	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2585	1				500-F-12.trim_2	Drosophila_melanogaster
500-F-21.trim_1	Drosophila_melanogaster	1957	99.81819622	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1958	0.999489275				500-F-21.trim_1	Drosophila_melanogaster
500-F-21.trim_2	Drosophila_melanogaster	1953	99.79812084	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1954	0.999488229				500-F-21.trim_2	Drosophila_melanogaster
500-F-41.trim_1	Drosophila_melanogaster	1564	99.77852302	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1565	0.999361022				500-F-41.trim_1	Drosophila_melanogaster
500-F-41.trim_2	Drosophila_melanogaster	1550	99.801	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1551	0.999355255				500-F-41.trim_2	Drosophila_melanogaster
500-F-42.trim_1	Drosophila_melanogaster	2152	99.76893587	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2152	1				500-F-42.trim_1	Drosophila_melanogaster
500-F-42.trim_2	Drosophila_melanogaster	2126	99.72651458	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2127	0.999529854				500-F-42.trim_2	Drosophila_melanogaster
500-F-67.trim_1	Drosophila_melanogaster	1641	99.74895186	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1641	1				500-F-67.trim_1	Drosophila_melanogaster
500-F-67.trim_2	Drosophila_melanogaster	1625	99.74736615	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1625	1				500-F-67.trim_2	Drosophila_melanogaster
500-M-100.trim_1	Drosophila_melanogaster	4826	99.79067136	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4826	1				500-M-100.trim_1	Drosophila_melanogaster
500-M-100.trim_2	Drosophila_melanogaster	4794	99.73830622	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4794	1				500-M-100.trim_2	Drosophila_melanogaster
500-M-16.trim_1	Drosophila_melanogaster	3919	99.7305384	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3921	0.999489926				500-M-16.trim_1	Drosophila_melanogaster
500-M-16.trim_2	Drosophila_melanogaster	4051	99.69200444	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4055	0.999013564				500-M-16.trim_2	Drosophila_melanogaster
500-M-17.trim_1	Drosophila_melanogaster	2784	99.71230963	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2786	0.999282125				500-M-17.trim_1	Drosophila_melanogaster
500-M-17.trim_2	Drosophila_melanogaster	2883	99.70872355	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2883	1				500-M-17.trim_2	Drosophila_melanogaster
500-M-40.trim_1	Drosophila_melanogaster	2073	99.69072841	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2077	0.998074145				500-M-40.trim_1	Drosophila_melanogaster
500-M-40.trim_2	Drosophila_melanogaster	2115	99.70563593	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2118	0.998583569				500-M-40.trim_2	Drosophila_melanogaster
500-M-54.trim_1	Drosophila_melanogaster	2516	99.74806836	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2520	0.998412698				500-M-54.trim_1	Drosophila_melanogaster
500-M-54.trim_2	Drosophila_melanogaster	2652	99.69266591	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2657	0.998118178				500-M-54.trim_2	Drosophila_melanogaster
500-M-55.trim_1	Drosophila_melanogaster	7287	99.71654728	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	7290	0.999588477				500-M-55.trim_1	Drosophila_melanogaster
500-M-55.trim_2	Drosophila_melanogaster	7592	99.68123156	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	7593	0.9998683				500-M-55.trim_2	Drosophila_melanogaster
500-M-57.trim_1	Drosophila_melanogaster	1828	99.78021882	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1830	0.998907104				500-M-57.trim_1	Drosophila_melanogaster
500-M-57.trim_2	Drosophila_melanogaster	1834	99.75742639	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1836	0.998910675				500-M-57.trim_2	Drosophila_melanogaster
500-M-6.trim_1	Drosophila_melanogaster	2635	99.79001898	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2637	0.999241562				500-M-6.trim_1	Drosophila_melanogaster
500-M-6.trim_2	Drosophila_melanogaster	2576	99.73171972	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2578	0.999224205				500-M-6.trim_2	Drosophila_melanogaster
500-M-60.trim_1	Drosophila_melanogaster	2151	99.68669456	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2155	0.998143852				500-M-60.trim_1	Drosophila_melanogaster
500-M-60.trim_2	Drosophila_melanogaster	2228	99.72472172	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2232	0.998207885				500-M-60.trim_2	Drosophila_melanogaster
500-M-61-2.trim_1	Drosophila_melanogaster	879	99.72562002	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	879	1				500-M-61-2.trim_1	Drosophila_melanogaster
500-M-61-2.trim_2	Drosophila_melanogaster	900	99.72261111	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	900	1				500-M-61-2.trim_2	Drosophila_melanogaster
500-M-61.trim_1	Drosophila_melanogaster	948	99.78237342	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	949	0.998946259				500-M-61.trim_1	Drosophila_melanogaster
500-M-61.trim_2	Drosophila_melanogaster	968	99.77547521	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	969	0.998968008				500-M-61.trim_2	Drosophila_melanogaster
500-M-65-2.trim_1	Drosophila_melanogaster	810	99.73530864	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	810	1				500-M-65-2.trim_1	Drosophila_melanogaster
500-M-65-2.trim_2	Drosophila_melanogaster	850	99.70210588	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	850	1				500-M-65-2.trim_2	Drosophila_melanogaster
500-M-65.trim_1	Drosophila_melanogaster	2347	99.78854282	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2348	0.999574106				500-M-65.trim_1	Drosophila_melanogaster
500-M-65.trim_2	Drosophila_melanogaster	2311	99.7693942	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2312	0.999567474				500-M-65.trim_2	Drosophila_melanogaster
500-M-71-2.trim_1	Drosophila_melanogaster	2970	99.7877138	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2970	1				500-M-71-2.trim_1	Drosophila_melanogaster
500-M-71-2.trim_2	Drosophila_melanogaster	2945	99.77489643	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2945	1				500-M-71-2.trim_2	Drosophila_melanogaster
500-M-71.trim_1	Drosophila_melanogaster	3987	99.73136443	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3988	0.999749248				500-M-71.trim_1	Drosophila_melanogaster
500-M-71.trim_2	Drosophila_melanogaster	4036	99.70757185	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4037	0.999752291				500-M-71.trim_2	Drosophila_melanogaster
500-M-83.trim_1	Drosophila_melanogaster	2194	99.57020966	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2197	0.998634502				500-M-83.trim_1	Drosophila_melanogaster
500-M-83.trim_2	Drosophila_melanogaster	2188	99.53435101	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2191	0.998630762				500-M-83.trim_2	Drosophila_melanogaster
500-M-84.trim_1	Drosophila_melanogaster	2606	99.7712548	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2606	1				500-M-84.trim_1	Drosophila_melanogaster
500-M-84.trim_2	Drosophila_melanogaster	2578	99.76921645	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2578	1				500-M-84.trim_2	Drosophila_melanogaster
500-M-F10.trim_1	Drosophila_melanogaster	5297	99.78407212	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5301	0.999245425				500-M-F10.trim_1	Drosophila_melanogaster
500-M-F10.trim_2	Drosophila_melanogaster	5411	99.77903899	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5415	0.999261311				500-M-F10.trim_2	Drosophila_melanogaster
500-M-F11.trim_1	Drosophila_melanogaster	1237	99.75442199	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1238	0.999192246				500-M-F11.trim_1	Drosophila_melanogaster
500-M-F11.trim_2	Drosophila_melanogaster	1235	99.76801619	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1236	0.999190939				500-M-F11.trim_2	Drosophila_melanogaster
500-M-F9.trim_1	Drosophila_melanogaster	491	99.73602851	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	494	0.993927126				500-M-F9.trim_1	Drosophila_melanogaster
500-M-F9.trim_2	Drosophila_melanogaster	496	99.75602823	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	499	0.993987976				500-M-F9.trim_2	Drosophila_melanogaster
500-M-G2.trim_1	Drosophila_melanogaster	959	99.78165798	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	960	0.998958333				500-M-G2.trim_1	Drosophila_melanogaster
500-M-G2.trim_2	Drosophila_melanogaster	965	99.77683938	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	965	1				500-M-G2.trim_2	Drosophila_melanogaster
Adobe-B4.trim_1	Drosophila_melanogaster	2180	99.90159633	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2181	0.999541495				Adobe-B4.trim_1	Drosophila_melanogaster
Adobe-B4.trim_2	Drosophila_melanogaster	2137	99.88312588	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2138	0.999532273				Adobe-B4.trim_2	Drosophila_melanogaster
Adobe-B6.trim_1	Drosophila_melanogaster	16994	99.89446334	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	16995	0.999941159				Adobe-B6.trim_1	Drosophila_melanogaster
Adobe-B6.trim_2	Drosophila_melanogaster	16778	99.83058708	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	16779	0.999940402				Adobe-B6.trim_2	Drosophila_melanogaster
