dataset	co1_species	count	pct_id	accession_species	accession	total_count	fractional_count
1428-M-4.trim_1	Drosophila_melanogaster	1504	99.7741223404255	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1504	1
1428-M-4.trim_2	Drosophila_melanogaster	1490	99.7721342281879	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1490	1
1428-M-42.trim_1	Drosophila_melanogaster	2899	99.9018799586064	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2900	0.999655172413793
1428-M-42.trim_1	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	2900	0.000344827586206897
1428-M-42.trim_2	Drosophila_melanogaster	2839	99.8591017964072	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2840	0.999647887323944
1428-M-42.trim_2	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	2840	0.000352112676056338
1428-M-43.trim_1	Drosophila_melanogaster	2232	99.8766308243728	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2235	0.998657718120805
1428-M-43.trim_1	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	2235	0.000447427293064877
1428-M-43.trim_1	Drosophila_hirtitarsus	1	98.57	MK277179.1:1-1469_Drosophila_hirtitarsus	MK277179.1:1-1469	2235	0.000447427293064877
1428-M-43.trim_1	Drosophila_oahuensis	1	100	MK277191.1:1-1462_Drosophila_oahuensis	MK277191.1:1-1462	2235	0.000447427293064877
1428-M-43.trim_2	Drosophila_melanogaster	2334	99.8792587832048	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2335	0.999571734475375
1428-M-43.trim_2	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	2335	0.000428265524625268
1428-M-6.trim_1	Drosophila_melanogaster	1454	99.8002682255846	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1454	1
1428-M-6.trim_2	Drosophila_melanogaster	1422	99.7790857946554	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1422	1
500-F-11.trim_1	Drosophila_melanogaster	4839	99.7618268237239	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4839	1
500-F-11.trim_2	Drosophila_melanogaster	4812	99.7266625103907	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4812	1
500-F-12.trim_1	Drosophila_melanogaster	2590	99.7868455598456	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2590	1
500-F-12.trim_2	Drosophila_melanogaster	2585	99.733829787234	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2585	1
500-F-21.trim_1	Drosophila_melanogaster	1957	99.8181962187021	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1958	0.999489274770174
500-F-21.trim_1	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	1958	0.000510725229826353
500-F-21.trim_2	Drosophila_melanogaster	1953	99.7981208397337	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1954	0.999488229273286
500-F-21.trim_2	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	1954	0.000511770726714432
500-F-41.trim_1	Drosophila_melanogaster	1564	99.7785230179028	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1565	0.999361022364217
500-F-41.trim_1	Drosophila_sp	1	100	DQ471564.1:1-1500_Drosophila_sp	DQ471564.1:1-1500	1565	0.000638977635782748
500-F-41.trim_2	Drosophila_melanogaster	1550	99.801	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1551	0.999355254674404
500-F-41.trim_2	Drosophila_sp	1	100	DQ471564.1:1-1500_Drosophila_sp	DQ471564.1:1-1500	1551	0.000644745325596389
500-F-42.trim_1	Drosophila_melanogaster	2152	99.768935873606	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2152	1
500-F-42.trim_2	Drosophila_melanogaster	2126	99.7265145813735	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2127	0.999529854254819
500-F-42.trim_2	Drosophila_mauritiana	1	98.11	NC_005779.1:1478-3012_Drosophila_mauritiana	NC_005779.1:1478-3012	2127	0.000470145745181006
500-F-67.trim_1	Drosophila_melanogaster	1641	99.7489518586228	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1641	1
500-F-67.trim_2	Drosophila_melanogaster	1625	99.7473661538462	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1625	1
500-M-100.trim_1	Drosophila_melanogaster	4826	99.790671363448	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4826	1
500-M-100.trim_2	Drosophila_melanogaster	4794	99.7383062161035	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4794	1
500-M-16.trim_1	Drosophila_melanogaster	3919	99.7305384026537	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3921	0.999489926039276
500-M-16.trim_1	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	3921	0.000255036980362153
500-M-16.trim_1	Drosophila_eohydei	1	100	DQ471601.1:1-1499_Drosophila_eohydei	DQ471601.1:1-1499	3921	0.000255036980362153
500-M-16.trim_2	Drosophila_melanogaster	4051	99.6920044433473	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4055	0.99901356350185
500-M-16.trim_2	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	4055	0.000246609124537608
