accession	clade_label
PQ624999	melA
PQ625019	melA
PQ625056	melA
OR820574	melA
MT742161	melA
MT742165	melA
OR729041	melA
OR729040	melA
OR820561	melA
OR820568	melA
OR729043	melA
PQ624993	melA
PQ624987	melA
PQ624985	melA
PQ624982	melA
PQ624992	melA
PQ624991	melA
PQ625011	melA
PQ624977	melA
PQ624976	melA
PQ625010	melA
PQ624980	melA
PQ625016	melA
PQ625000	melA
PQ624962	melA
PQ624972	melA
PQ625012	melA
PQ625008	melA
PQ625014	melA
PQ625017	melA
PQ625020	melA
PQ624959	melA
PQ625040	melA
PQ624960	melA
PQ624971	melA
OR729037	melA
MH384336	melB
PQ624975	melB
PQ624958	melB
PQ625001	melB
PQ625002	melB
PQ625004	melB
OR820587	melB
PQ624957	melB
PQ624961	melB
PQ624974	melB
PQ624981	melB
PQ624984	melB
PQ624986	melB
PQ624989	melB
PQ624994	melB
PQ624990	melB
PQ625034	melB
PQ624996	melB
PQ625033	melB
PQ624965	melB
PQ625044	melB
PQ624979	melB
PQ624988	melB
PQ625013	melB
PQ625030	melB
PQ625031	melB
PQ625018	melB
PQ625032	melB
PQ624953	melB
PQ624954	melB
PQ625006	melB
PQ625021	melB
PQ625023	melB
PQ625028	melB
PQ625015	melB
PQ625026	melB
PQ624978	melB
PQ624997	melB
PQ625029	melB
PQ625022	melB
OR820595	simA
OR820599	simA
SRX10234790_RNA2	simA
SRX10234776_RNA2	simA
SRX10234786_RNA2	simA
SRX10234782_RNA2	simA
SRX10234787_RNA2	simA
SRX10234784_RNA2	simA
SRX10234779_RNA2	simA
SRX10234777_RNA2	simA
SRX10234781_RNA2	simA
SRX10234788_RNA2	simA
SRX10234789_RNA2	simA
SRX10234778_RNA2	simA
SRX10234785_RNA2	simA
SRX10234780_RNA2	simA
OR820570	melA
PQ624852	melA
PQ624863	melA
PQ624907	melA
PQ624911	melA
PQ624867	melA
PQ624878	melA
PQ624886	melA
PQ624874	melA
PQ624906	melA
PQ624885	melA
PQ624905	melA
PQ624869	melA
PQ624872	melA
PQ624880	melA
PQ624912	melA
PQ624915	melA
PQ624868	melA
PQ624884	melA
PQ624877	melA
PQ624909	melA
PQ624903	melA
PQ624849	melA
PQ624936	melA
PQ624920	melA
PQ624855	melA
PQ624895	melA
PQ624857	melA
MH384362	melA
MH384355	melA
MH384380	melA
MH384374	melA
MH384366	melA
OR729066	melA
OR729071	melA
OR729072	melA
PQ624864	melA
PQ624900	melA
PQ624860	melA
PQ624931	melA
OR729067	melA
PQ624846	melA
PQ624853	melA
PQ624859	melA
PQ624858	melA
PQ624898	melA
OR729070	melA
PQ624861	melA
PQ624892	melA
PQ624888	melA
PQ624904	melA
PQ624935	melA
PQ624934	melA
PQ624933	melA
OR729073	melA
OR729076	melA
OR729084	melA
OR729087	melA
OR729077	melA
OR729080	melA
OR729088	melA
OR729091	melA
OR729090	melA
OR729092	melA
OR729082	melA
OR729074	melA
OR729089	melA
OR729078	melA
OR729085	melA
OR729081	melA
OR729075	melA
OR729083	melA
OR729079	melA
OR729086	melA
PQ624902	melA
PQ624845	melA
PQ624875	melA
PQ624854	melA
PQ624939	melA
PQ624951	melA
PQ624943	melA
PQ624938	melA
PQ624949	melA
PQ624947	melA
PQ624941	melA
PQ624950	melA
PQ624945	melA
PQ624944	melA
PQ624940	melA
PQ624948	melA
PQ624850	melA
PQ624923	melA
OR729065	melA
PQ624862	melA
MT742162	melA
MT742166	melA
PQ624848	melA
PQ624937	melA
OR729068	melA
OR729069	melA
PQ624894	melA
PQ624919	melA
PQ624932	melA
OR820576	melA
OR820563	melA
PQ624952	melA
PQ624914	melA
MH384337	melB
PQ624866	melB
OR820589	melB
PQ624865	melB
PQ624873	melB
PQ624883	melB
PQ624882	melB
PQ624876	melB
PQ624879	melB
PQ624887	melB
PQ624930	melB
PQ624851	melB
PQ624889	melB
PQ624929	melB
PQ624841	melB
PQ624843	melB
PQ624891	melB
PQ624917	melB
PQ624925	melB
PQ624842	melB
PQ624844	melB
PQ624890	melB
PQ624870	melB
PQ624893	melB
PQ624910	melB
PQ624922	melB
PQ624901	melB
PQ624916	melB
PQ624918	melB
PQ624924	melB
PQ624871	melB
PQ624881	melB
PQ624908	melB
PQ624913	melB
PQ624927	melB
PQ624926	melB
PQ624928	melB
PQ624942	melB
PQ624847	melB
PQ624896	melB
PQ624899	melB
PQ624897	melB
PQ624856	melB
OR820597	simA
SRX10234790_RNA3	simA
OR820601	simA
SRX10234785_RNA3	simA
SRX10234780_RNA3	simA
SRX10234788_RNA3	simA
SRX10234789_RNA3	simA
SRX10234776_RNA3	simA
SRX10234781_RNA3	simA
SRX10234777_RNA3	simA
SRX10234779_RNA3	simA
SRX10234782_RNA3	simA
SRX10234784_RNA3	simA
SRX10234786_RNA3	simA
SRX10234778_RNA3	simA
SRX10234787_RNA3	simA
MH384356	melA
MH384375	melA
MH384367	melA
MH384363	melA
PQ625200	melA
PQ625210	melA
PQ625205	melA
PQ625207	melA
PQ625201	melA
PQ625203	melA
PQ625206	melA
PQ625213	melA
PQ625204	melA
PQ625202	melA
PQ625211	melA
PQ625212	melA
PQ625196	melA
OR820567	melA
OR820571	melA
PQ625190	melA
PQ625193	melA
PQ625166	melA
PQ625171	melA
PQ625172	melA
PQ625174	melA
PQ625173	melA
PQ625184	melA
PQ625187	melA
PQ625189	melA
PQ625168	melA
PQ625178	melA
MT742163	melA
MT742167	melA
OR729015	melA
OR729013	melA
PQ625208	melA
PQ625209	melA
OR729016	melA
OR729020	melA
OR729029	melA
OR729026	melA
PQ625169	melA
PQ625176	melA
OR729028	melA
OR729023	melA
PQ625182	melA
OR729022	melA
OR729025	melA
OR729031	melA
OR729034	melA
OR729035	melA
OR729032	melA
OR729033	melA
PQ625170	melA
PQ625175	melA
PQ625163	melA
PQ625183	melA
OR729018	melA
OR729021	melA
OR729027	melA
OR729036	melA
OR729030	melA
OR729024	melA
OR729019	melA
PQ625177	melA
PQ625154	melA
PQ625155	melA
PQ625167	melA
PQ625158	melA
PQ625160	melA
PQ625179	melA
OR729014	melA
OR729017	melA
PQ625161	melA
PQ625162	melA
PQ625197	melA
PQ625165	melA
PQ625180	melA
PQ625157	melA
PQ625164	melA
PQ625185	melA
PQ625156	melA
PQ625199	melA
PQ625181	melA
PQ625186	melA
PQ625159	melA
PQ625194	melA
PQ625198	melA
PQ625191	melA
PQ625192	melA
PQ625214	melA
PQ625188	melA
MH384381	melA
OR820594	simA
MW976837	simA
MW976844	simA
MW976846	simA
MW976845	simA
MW976840	simA
MW976847	simA
MW976842	simA
MW976843	simA
SRX10234784_Chaq	simA
MW976841	simA
MW976848	simA
